full_name;url
Межрегиональные предметные олимпиады КФУ;https://kpfu.ru/olympiad
"Многопредметная олимпиада ""Юные таланты""";https://utalents.ru
"Многопрофильная инженерная олимпиада ""Звезда""";https://zvezda-olymp.ru
Московская олимпиада школьников;https://mosolymp.ru
Московская открытая олимпиада школьников по геологии;https://geo.olymp.msu.ru
Оборонно-техническая олимпиада;https://oboronteh.ru
"Общероссийская олимпиада школьников ""Основы православной культуры""";https://opk.pravolimp.ru
Объединенная межвузовская олимпиада школьников;https://omus.msu.ru
Океан знаний;https://oceanofknowledge.ru
Олимпиада Курчатов;https://kurchatov-olymp.ru
Олимпиада МГИМО МИД России для школьников;https://mgimo.ru/olympiad
"Олимпиада по комплексу предметов ""Культура и искусство""";https://culture-olymp.ru
"Олимпиада по химии и химической технологии ""Потомки Менделеева""";https://mendeleev-olymp.ru
"Олимпиада по экономике ""Сибириада. Шаг в мечту""";https://sibiriada.ru
Олимпиада РГГУ для школьников;https://rsuh.ru/olympiad
"Олимпиада школьников ""Гранит науки""";https://granitnauki.ru
"Олимпиада школьников ""Ломоносов""";https://olymp.msu.ru
"Олимпиада школьников ""Надежда энергетики""";https://energy-hope.ru
"Олимпиада школьников ""Покори Воробьевы горы!""";https://pvg.msu.ru
"Олимпиада школьников ""Робофест""";https://robofest.ru
"Олимпиада школьников ""Физтех""";https://olymp.mipt.ru
"Олимпиада школьников ""Шаг в будущее""";https://step-into-the-future.ru
Олимпиада школьников по информатике и программированию;https://olymp-it.ru
"Олимпиада школьников по программированию ""ТехноКубок""";https://technocup.ru
Олимпиада школьников РАНХиГС;https://ranepa.ru/olymp
Олимпиада школьников СПбГУ;https://olympiad.spbu.ru
"Олимпиада школьников РПА Минюста России ""В мир права""";https://rpa-mu.ru/olymp
Олимпиада Юношеской математической школы;https://yms.ru/olympiad
"Открытая межвузовская олимпиада школьников СФО ""Будущее Сибири""";https://future-siberia.ru
"Открытая олимпиада СКФУ ""45 параллель""";https://ncfu.ru/olymp/45
Открытая олимпиада школьников;https://openolymp.ru
Открытая олимпиада школьников по программированию;https://olympiads.ru
"Открытая олимпиада школьников по программированию ""Когнитивные технологии""";https://cognitive-olymp.ru
Открытая региональная межвузовская олимпиада школьников (ОРМО);https://ormo-olymp.ru
Открытая химическая олимпиада;https://chemolymp.ru
"Отраслевая олимпиада школьников ""Газпром""";https://gazprom-olymp.ru
"Отраслевая физико-математическая олимпиада школьников ""Росатом""";https://rosatom-olymp.ru
Пироговская олимпиада для школьников по химии и биологии;https://pirogov-olymp.ru
Плехановская олимпиада школьников;https://plekh-olymp.ru
Региональный конкурс школьников Челябинского университетского образовательного округа;https://cuoo74.ru
Санкт-Петербургская астрономическая олимпиада;https://astroolymp.spb.ru
Санкт-Петербургская олимпиада школьников;https://spbolymp.ru
Северо-Восточная олимпиада школьников;https://sever-olymp.ru
"Сибирская межрегиональная олимпиада школьников ""Архитектурно-дизайнерское творчество""";https://archdesign-olymp.ru
Строгановская олимпиада;https://stroganov-olymp.ru
Твой путь в настоящую науку;https://science-path.ru
"Телевизионная гуманитарная олимпиада школьников ""Умницы и умники""";https://umniki-olymp.ru
Турнир городов;https://turgor.ru
Турнир имени М.В. Ломоносова;https://turlom.ru
"Университетская олимпиада школьников ""Бельчонок""";https://belchonok.ru
