"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Благовещенский государственный педагогический университет"" "; https://www.bgpu.ru;Благовещенский государственный педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Бурятский государственный университет имени Доржи Банзарова"" "; https://www.bsu.ru;Бурятский государственный университет имени Доржи Банзарова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых"" "; https://vlsu.ru;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный социально-педагогический университет"" "; https://www.vspu.ru;Волгоградский государственный социально-педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный технический университет"" "; https://www.vstu.ru;Волгоградский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный педагогический университет"" "; https://www.vspu.ac.ru;Воронежский государственный педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный технический университет"" "; https://cchgeu.ru;Воронежский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный университет"" "; https://www.vsu.ru;Воронежский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Всероссийский государственный университет юстиции (РПА Минюста России)"" "; https://rpa-mu.ru;Всероссийский государственный университет юстиции (РПА Минюста России)
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Вятский государственный университет"" "; https://www.vyatsu.ru;Вятский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Глазовский государственный инженерно-педагогический университет имени В.Г. Короленко"" "; https://ggpi.org;Глазовский государственный инженерно-педагогический университет имени В.Г. Короленко
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Горно-Алтайский государственный университет"" "; https://www.gasu.ru;Горно-Алтайский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дагестанский государственный педагогический университет им. Р. Гамзатова"" "; https://dspu.ru;Дагестанский государственный педагогический университет им. Р. Гамзатова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дагестанский государственный технический университет"" "; https://dstu.ru;Дагестанский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дагестанский государственный университет"" "; https://www.dgu.ru;Дагестанский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дипломатическая академия Министерства иностранных дел Российской Федерации"" "; https://dipacademy.ru;Дипломатическая академия Министерства иностранных дел Российской Федерации
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Донбасский государственный технический университет"" "; https://dstu.dn.ua;Донбасский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Донской государственный технический университет"" "; https://donstu.ru;Донской государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Забайкальский государственный университет"" "; https://zabgu.ru;Забайкальский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный политехнический университет"" "; https://ivanovo.ac.ru;Ивановский государственный политехнический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный энергетический университет имени В.И. Ленина"" "; https://ispu.ru;Ивановский государственный энергетический университет имени В.И. Ленина
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ижевский государственный технический университет имени М.Т. Калашникова"" "; https://istu.ru;Ижевский государственный технический университет имени М.Т. Калашникова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ингушский государственный университет"" "; https://inggu.ru;Ингушский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский государственный университет"" "; https://isu.ru;Иркутский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский национальный исследовательский технический университет"" "; https://www.istu.edu;Иркутский национальный исследовательский технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кабардино-Балкарский государственный университет им. Х.М. Бербекова"" "; https://kbsu.ru;Кабардино-Балкарский государственный университет им. Х.М. Бербекова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный энергетический университет"" "; https://kgeu.ru;Казанский государственный энергетический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский национальный исследовательский технический университет им. А.Н. Туполева – КАИ"" "; https://kai.ru;Казанский национальный исследовательский технический университет им. А.Н. Туполева – КАИ
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский национальный исследовательский технологический университет"" "; https://www.kstu.ru;Казанский национальный исследовательский технологический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Калининградский государственный технический университет"" "; https://klgtu.ru;Калининградский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Калмыцкий государственный университет имени Б.Б. Городовикова"" "; https://kalmgu.ru;Калмыцкий государственный университет имени Б.Б. Городовикова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Камчатский государственный университет имени Витуса Беринга"" "; https://kamgu.ru;Камчатский государственный университет имени Витуса Беринга
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Карачаево-Черкесский государственный университет имени У.Д. Алиева"" "; https://kchgu.ru;Карачаево-Черкесский государственный университет имени У.Д. Алиева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кемеровский государственный университет"" "; https://kemsu.ru;Кемеровский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ковровская государственная технологическая академия имени В.А. Дегтярева"" "; https://dgta.ru;Ковровская государственная технологическая академия имени В.А. Дегтярева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Красноярский государственный педагогический университет им. В.П. Астафьева"" "; https://www.kspu.ru;Красноярский государственный педагогический университет им. В.П. Астафьева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кубанский государственный технологический университет"" "; https://kubstu.ru;Кубанский государственный технологический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Курганский государственный университет"" "; https://www.kgsu.ru;Курганский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Курский государственный университет"" "; https://kursksu.ru;Курский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Марийский государственный университет"" "; https://marsu.ru;Марийский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""МИРЭА – Российский технологический университет"" "; https://www.mirea.ru;МИРЭА – Российский технологический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Мордовский государственный педагогический университет имени М.Е. Евсевьева"" "; https://mordgpi.ru;Мордовский государственный педагогический университет имени М.Е. Евсевьева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский авиационный институт (национальный исследовательский университет)"" "; https://mai.ru;Московский авиационный институт (национальный исследовательский университет)
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)"" "; https://www.madi.ru;Московский автомобильно-дорожный государственный технический университет (МАДИ)
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный академический художественный институт имени В.И. Сурикова при Российской академии художеств"" "; https://surikov-vuz.com;Московский государственный академический художественный институт имени В.И. Сурикова при Российской академии художеств
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный лингвистический университет"" "; https://www.linguanet.ru;Московский государственный лингвистический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный психолого-педагогический университет"" "; https://mgppu.ru;Московский государственный психолого-педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет гражданской авиации"" "; https://www.mstuca.ru;Московский государственный технический университет гражданской авиации
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный университет геодезии и картографии"" "; https://www.miigaik.ru;Московский государственный университет геодезии и картографии
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный университет имени М.В. Ломоносова"" "; https://www.msu.ru;Московский государственный университет имени М.В. Ломоносова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский педагогический государственный университет"" "; https://mpgu.su;Московский педагогический государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Набережночелнинский государственный педагогический университет"" "; https://ngpu.ru;Набережночелнинский государственный педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева"" "; https://www.mrsu.ru;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Московский государственный строительный университет"" "; https://www.mgsu.ru;Национальный исследовательский Московский государственный строительный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский университет «МЭИ»"" "; https://mpei.ru;Национальный исследовательский университет «МЭИ»
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородская государственная консерватория им. М.И. Глинки"" "; https://nngk.ru;Нижегородская государственная консерватория им. М.И. Глинки
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный архитектурно-строительный университет"" "; https://www.nngasu.ru;Нижегородский государственный архитектурно-строительный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный лингвистический университет им. Н.А. Добролюбова"" "; https://lunn.ru;Нижегородский государственный лингвистический университет им. Н.А. Добролюбова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"" "; https://www.nntu.ru;Нижегородский государственный технический университет им. Р.Е. Алексеева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новгородский государственный университет имени Ярослава Мудрого"" "; https://novsu.ru;Новгородский государственный университет имени Ярослава Мудрого
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный технический университет"" "; https://www.nstu.ru;Новосибирский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова"" "; https://nsuada.ru;Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный университет экономики и управления «НИНХ»"" "; https://nauka-ninh.ru;Новосибирский государственный университет экономики и управления «НИНХ»
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Омский государственный педагогический университет"" "; https://omgpu.ru;Омский государственный педагогический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Оренбургский государственный университет"" "; https://osu.ru;Оренбургский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Орловский государственный университет имени И.С. Тургенева"" "; https://oreluniver.ru;Орловский государственный университет имени И.С. Тургенева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный технологический университет"" "; https://penzgtu.ru;Пензенский государственный технологический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет архитектуры и строительства"" "; https://www.pguas.ru;Пензенский государственный университет архитектуры и строительства
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет"" "; https://pnzgu.ru;Пензенский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Петрозаводский государственный университет"" "; https://petrsu.ru;Петрозаводский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Псковский государственный университет"" "; https://pskgu.ru;Псковский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пятигорский государственный университет"" "; https://pgu.ru;Пятигорский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" "; https://www.ranepa.ru;Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия живописи, ваяния и зодчества Ильи Глазунова"" "; https://glazunov-academy.ru;Российская академия живописи, ваяния и зодчества Ильи Глазунова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский биотехнологический университет (РОСБИОТЕХ)"" "; https://rosbiotech.ru;Российский биотехнологический университет (РОСБИОТЕХ)
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный аграрный университет – МСХА имени К.А. Тимирязева"" "; https://www.timacad.ru;Российский государственный аграрный университет – МСХА имени К.А. Тимирязева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный педагогический университет им. А.И. Герцена"" "; https://www.herzen.spb.ru;Российский государственный педагогический университет им. А.И. Герцена
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный университет правосудия имени В.М. Лебедева"" "; https://rgup.ru;Российский государственный университет правосудия имени В.М. Лебедева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный художественно-промышленный университет им. С.Г. Строганова"" "; https://stroganovacademy.ru;Российский государственный художественно-промышленный университет им. С.Г. Строганова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский химико-технологический университет имени Д.И. Менделеева"" "; https://www.muctr.ru;Российский химико-технологический университет имени Д.И. Менделеева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский экономический университет имени Г.В. Плеханова"" "; https://www.rea.ru;Российский экономический университет имени Г.В. Плеханова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ростовский государственный экономический университет (РИНХ)"" "; https://rsue.ru;Ростовский государственный экономический университет (РИНХ)
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный университет имени С.А. Есенина"" "; https://rsu.edu.ru;Рязанский государственный университет имени С.А. Есенина
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный технический университет"" "; https://samgtu.ru;Самарский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет императрицы Екатерины II"" "; https://spmi.ru;Санкт-Петербургский горный университет императрицы Екатерины II
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный морской технический университет"" "; https://www.smtu.ru;Санкт-Петербургский государственный морской технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет промышленных технологий и дизайна"" "; https://sutd.ru;Санкт-Петербургский государственный университет промышленных технологий и дизайна
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича"" "; https://www.sut.ru;Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"" "; https://spbu.ru;Санкт-Петербургский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный экономический университет"" "; https://unecon.ru;Санкт-Петербургский государственный экономический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский государственный технический университет имени Гагарина Ю.А."" "; https://www.sstu.ru;Саратовский государственный технический университет имени Гагарина Ю.А.
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"" "; https://www.sgu.ru;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Северо-Восточный государственный университет"" "; https://svgu.ru;Северо-Восточный государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Северо-Кавказский горно-металлургический институт (государственный технологический университет)"" "; https://skgmi-gtu.ru;Северо-Кавказский горно-металлургический институт (государственный технологический университет)
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Северо-Осетинский государственный университет имени Коста Левановича Хетагурова"" "; https://www.nosu.ru;Северо-Осетинский государственный университет имени Коста Левановича Хетагурова
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный медицинский университет"" Министерства здравоохранения Российской Федерации "; https://www.ssmu.ru;Сибирский государственный медицинский университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева"" "; https://www.sibsau.ru;Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный университет телекоммуникаций и информатики"" "; https://www.sibsutis.ru;Сибирский государственный университет телекоммуникаций и информатики
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Смоленский государственный университет"" "; https://smolgu.ru;Смоленский государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ставропольский государственный аграрный университет"" "; https://stgau.ru;Ставропольский государственный аграрный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сыктывкарский государственный университет имени Питирима Сорокина"" "; https://syktsu.ru;Сыктывкарский государственный университет имени Питирима Сорокина
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный технический университет"" "; https://www.tstu.ru;Тамбовский государственный технический университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный университет имени Г.Р. Державина"" "; https://www.tsutmb.ru;Тамбовский государственный университет имени Г.Р. Державина
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тверской государственный университет"" "; https://tversu.ru;Тверской государственный университет
"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Технологический университет имени дважды Героя Советского Союза, летчика-космонавта А.А. Леонова"" "; https://tu-korolev.ru;Технологический университет имени дважды Героя Советского Союза, летчика-космонавта А.А. Леонова
