olympiad_name,organizer_name
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Курский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Курганский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное автономное образовательное учреждение высшего образования ""Севастопольский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Байкальский государственный университет"""
"""Финатлон для старшеклассников"" - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг","Автономная некоммерческая образовательная организация высшего образования ""Калининградский институт управления"""
"""Формула Единства""/""Третье тысячелетие""","Федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" им. В.И. Ульянова (Ленина)"""
"""Формула Единства""/""Третье тысячелетие""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"""
"""Формула Единства""/""Третье тысячелетие""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Балтийский государственный технический университет ""ВОЕНМЕХ"" им. Д.Ф. Устинова"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное автономное образовательное учреждение высшего образования ""Южный федеральный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Кавказский федеральный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Белгородский государственный технологический университет им. В.Г. Шухова"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный социально-педагогический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный педагогический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный технический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Донской государственный технический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный политехнический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский национальный исследовательский технологический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Калининградский государственный технический университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный архитектурно-строительный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пятигорский государственный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный архитектурно-строительный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Юго-Западный государственный университет"""
"XVIII Южно-Российская межрегиональная олимпиада школьников ""Архитектура и искусство"" по комплексу предметов (рисунок, живопись, композиция, черчение)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова""-"
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Бурятский государственный университет имени Доржи Банзарова"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Автономная некоммерческая организация высшего образования ""Волгоградский институт бизнеса"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Кемеровский государственный университет"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Частное образовательное учреждение высшего образования ""Московский университет имени С.Ю. Витте"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Автономная некоммерческая организация высшего образования ""Российский новый университет"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный экономический университет"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный технический университет"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Федеральное государственное образовательное бюджетное учреждение высшего образования ""Финансовый университет при Правительстве Российской Федерации"""
Всероссийская академическая олимпиада школьников имени В.И. Вернадского,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ульяновский государственный университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Московский физико-технический институт (национальный исследовательский университет)"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Московский политехнический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный технический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ИТМО"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Омский государственный технический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""МИРЭА - Российский технологический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский технический университет связи и информатики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Московский политехнический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""МИРЭА - Российский технологический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Самарский национальный исследовательский университет имени академика С.П. Королева"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Дальневосточный федеральный университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ИТМО"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет аэрокосмического приборостроения"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""МИРЭА - Российский технологический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ИТМО"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ИТМО"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский государственный университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный университет архитектуры, дизайна и искусств имени А.Д. Крячкова"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Иркутский национальный исследовательский технический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",Министерство образования Иркутской области
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Крымский федеральный университет имени В.И. Вернадского"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Новосибирский национальный исследовательский государственный университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""МИРЭА - Российский технологический университет"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""","Федеральное государственное автономное образовательное учреждение высшего образования ""Московский политехнический университет"""
